Name,Label,Canton_name
Ettiswil,4,Luzern
Etziken,13,Solothurn
Evilard,16,Bern
Evionnaz,6,Sion
Evolène,6,Sion
Eysins,9,Lausanne
Fahrni,16,Bern
Fahrwangen,20,Aarau
Fahy,18,Delémont
Faido,12,Lugano
Falera,15,Chur
Faoug,19,Fribourg
Farnern,13,Solothurn
Farvagny,19,Fribourg
Fehraltorf,5,Zürich
Fehren,13,Solothurn
Felben-Wellhausen,23,Frauenfeld
Feldbrunnen-St. Niklaus,13,Solothurn
Felsberg,15,Chur
Ferden,6,Sion
Ferenbalm,19,Fribourg
Ferlens (VD),9,Lausanne
Ferpicloz,19,Fribourg
Ferrera,15,Chur
Ferreyres,9,Lausanne
Feuerthalen,22,Schaffhausen
Feusisberg,5,Zürich
Fey,9,Lausanne
Fideris,15,Chur
Fiesch,6,Sion
Fieschertal,6,Sion
Fiez,9,Lausanne
Filisur,15,Chur
Finhaut,6,Sion
Finsterhennen,16,Bern
Fischbach,4,Luzern
Fischbach-Göslikon,20,Aarau
Fischenthal,5,Zürich
Fischingen,21,St. Gallen
Fisibach,5,Zürich
Fislisbach,20,Aarau
Flaach,5,Zürich
Flawil,21,St. Gallen
Flerden,15,Chur
Flims,15,Chur
Flumenthal,13,Solothurn
Flums,21,St. Gallen
Flurlingen,22,Schaffhausen
Fläsch,21,St. Gallen
Flüelen,0,Altdorf (UR)
Flühli,1,Sachseln
Fontaines-sur-Grandson,9,Lausanne
Fontenais,18,Delémont
Forel (Lavaux),9,Lausanne
Forel-sur-Lucens,9,Lausanne
Forst-Längenbühl,16,Bern
Founex,10,Genève
Frasco,12,Lugano
Fraubrunnen,16,Bern
Frauenfeld,23,Frauenfeld
Frauenkappelen,16,Bern
Freienbach,5,Zürich
Freienstein-Teufen,5,Zürich
Freienwil,20,Aarau
Freimettigen,16,Bern
Frenkendorf,3,Basel
Fresens,9,Lausanne
Fribourg,19,Fribourg
Frick,20,Aarau
Froideville,9,Lausanne
Frutigen,16,Bern
Fräschels,16,Bern
Fulenbach,13,Solothurn
Full-Reuenthal,20,Aarau
Fully,6,Sion
Furna,15,Chur
Fällanden,5,Zürich
Féchy,9,Lausanne
Fétigny,19,Fribourg
Füllinsdorf,3,Basel
Fürstenau,15,Chur
Gachnang,23,Frauenfeld
Gais,21,St. Gallen
Gaiserwald,21,St. Gallen
Galgenen,7,Rapperswil-Jona
Galmiz,19,Fribourg
Gals,24,La Chaux-de-Fonds
Gambarogno,12,Lugano
Gampel-Bratsch,6,Sion
Gampelen,24,La Chaux-de-Fonds
Gams,21,St. Gallen
Gansingen,20,Aarau
Gebenstorf,20,Aarau
Gelterfingen,16,Bern
Gelterkinden,3,Basel
Geltwil,20,Aarau
Gempen,3,Basel
Gempenach,19,Fribourg
Genolier,9,Lausanne
Genthod,10,Genève
Genève,10,Genève
Gerlafingen,16,Bern
Geroldswil,5,Zürich
Gersau,4,Luzern
Gerzensee,16,Bern
Gettnau,4,Luzern
Geuensee,4,Luzern
Giebenach,3,Basel
Giez,9,Lausanne
Giffers,19,Fribourg
Gilly,9,Lausanne
Gimel,9,Lausanne
Gingins,9,Lausanne
Giornico,12,Lugano
Gipf-Oberfrick,20,Aarau
Gisikon,4,Luzern
Giswil,1,Sachseln
Giubiasco,12,Lugano
Givisiez,19,Fribourg
Givrins,9,Lausanne
Gland,9,Lausanne
Glarus,2,Glarus
Glarus Nord,21,St. Gallen
Glarus Süd,7,Rapperswil-Jona
Glattfelden,5,Zürich
Gletterens,19,Fribourg
Gnosca,12,Lugano
Golaten,16,Bern
Goldach,21,St. Gallen
Gollion,9,Lausanne
Gommiswald,21,St. Gallen
Gondiswil,16,Bern
Gonten,21,St. Gallen
Gontenschwil,20,Aarau
Gordola,12,Lugano
Gorduno,12,Lugano
Gorgier,24,La Chaux-de-Fonds
Gossau (SG),21,St. Gallen
Gossau (ZH),5,Zürich
Gottlieben,23,Frauenfeld
Goumoëns,9,Lausanne
Graben,13,Solothurn
Grabs,21,St. Gallen
Grafschaft,6,Sion
Grancia,12,Lugano
Grancy,9,Lausanne
Grandcour,19,Fribourg
Grandevent,9,Lausanne
Grandfontaine,18,Delémont
Grandson,9,Lausanne
Grandval,18,Delémont
Grandvillard,19,Fribourg
Granges (Veveyse),19,Fribourg
Granges-Paccot,19,Fribourg
Grangettes,19,Fribourg
Gravesano,12,Lugano
Greifensee,5,Zürich
Grellingen,3,Basel
Grenchen,16,Bern
Greng,19,Fribourg
Grengiols,6,Sion
Grens,9,Lausanne
Greppen,4,Luzern
Gresso,12,Lugano
Gretzenbach,20,Aarau
Grimisuat,6,Sion
Grindel,18,Delémont
Grindelwald,0,Altdorf (UR)
Grolley,19,Fribourg
Grono,15,Chur
Grossaffoltern,16,Bern
Grossdietwil,4,Luzern
Grosshöchstetten,16,Bern
Grosswangen,4,Luzern
Grub (AR),21,St. Gallen
Gruyères,19,Fribourg
Gryon,6,Sion
Grächen,6,Sion
Gränichen,20,Aarau
Grône,6,Sion
Grüningen,5,Zürich
Grüsch,15,Chur
Gsteig,6,Sion
Gsteigwiler,16,Bern
Gudo,12,Lugano
Guggisberg,19,Fribourg
Gunzgen,13,Solothurn
Gurbrü,16,Bern
Gurmels,19,Fribourg
Gurtnellen,15,Chur
Gurzelen,16,Bern
Guttannen,6,Sion
Guttet-Feschel,6,Sion
Gy,10,Genève
Gächlingen,22,Schaffhausen
Gänsbrunnen,18,Delémont
Göschenen,15,Chur
Gündlischwand,16,Bern
Günsberg,13,Solothurn
Güttingen,23,Frauenfeld
Habkern,16,Bern
Habsburg,20,Aarau
Hagenbuch,23,Frauenfeld
Hagneck,16,Bern
Haldenstein,15,Chur
Hallau,22,Schaffhausen
Hallwil,20,Aarau
Halten,16,Bern
Hasle (LU),4,Luzern
Hasle bei Burgdorf,16,Bern
Hasliberg,1,Sachseln
Hauenstein-Ifenthal,3,Basel
Hauptwil-Gottshaus,23,Frauenfeld
Hausen (AG),20,Aarau
Hausen am Albis,5,Zürich
Haut-Intyamon,19,Fribourg
Haut-Vully,19,Fribourg
Haute-Ajoie,18,Delémont
Haute-Sorne,18,Delémont
Hauterive (FR),19,Fribourg
Hauterive (NE),24,La Chaux-de-Fonds
Hauteville,19,Fribourg
Hedingen,5,Zürich
Hefenhofen,23,Frauenfeld
Heiden,21,St. Gallen
Heiligenschwendi,16,Bern
Heimberg,16,Bern
Heimenhausen,13,Solothurn
Heimiswil,16,Bern
Heitenried,19,Fribourg
Hellikon,3,Basel
Hellsau (Urne commune),16,Bern
Hemberg,21,St. Gallen
Hemishofen,23,Frauenfeld
Hemmiken,3,Basel
Hendschiken,20,Aarau
Henggart,5,Zürich
Henniez,9,Lausanne
Herbetswil,13,Solothurn
Herbligen,16,Bern
Herdern,23,Frauenfeld
Hergiswil (NW),4,Luzern
Hergiswil bei Willisau,4,Luzern
Herisau,25,Herisau
Hermance,10,Genève
Hermenches,9,Lausanne
Hermiswil,16,Bern
Hermrigen,16,Bern
Herrliberg,5,Zürich
Hersberg,3,Basel
Herznach,20,Aarau
Herzogenbuchsee,16,Bern
Hettlingen,5,Zürich
Hildisrieden,4,Luzern
Hilterfingen,16,Bern
Himmelried,3,Basel
Hindelbank,16,Bern
Hinterrhein,15,Chur
Hinwil,5,Zürich
Hirschthal,20,Aarau
Hirzel,5,Zürich
Hittnau,5,Zürich
Hitzkirch,20,Aarau
Hochdorf,4,Luzern
Hochfelden,5,Zürich
Hochwald,3,Basel
Hofstetten (ZH),23,Frauenfeld
Hofstetten bei Brienz,1,Sachseln
Hofstetten-Flüh,3,Basel
Hohenrain,4,Luzern
Hohentannen,23,Frauenfeld
Holderbank (AG),20,Aarau
Holderbank (SO),13,Solothurn
Holziken,20,Aarau
Homberg,16,Bern
Hombrechtikon,5,Zürich
Homburg,23,Frauenfeld
Honau,4,Luzern
Horgen,5,Zürich
Horn,21,St. Gallen
Hornussen,20,Aarau
Horrenbach-Buchen,16,Bern
Horriwil,13,Solothurn
Horw,4,Luzern
Hospental,15,Chur
Hubersdorf,13,Solothurn
Humlikon,5,Zürich
Hundwil,21,St. Gallen
Hunzenschwil,20,Aarau
Huttwil,16,Bern
Häfelfingen,3,Basel
Hägendorf,13,Solothurn
Häggenschwil,23,Frauenfeld
Hägglingen,20,Aarau
Härkingen,13,Solothurn
Häutligen,16,Bern
Hérémence,6,Sion
Höchstetten (Urne commune),16,Bern
Hölstein,3,Basel
Höri,5,Zürich
Hünenberg,4,Luzern
Hüniken,13,Solothurn
Hüntwangen,5,Zürich
Hütten,5,Zürich
Hüttikon,5,Zürich
Hüttlingen,23,Frauenfeld
Hüttwilen,23,Frauenfeld
Icogne,6,Sion
Iffwil,16,Bern
Ilanz/Glion,15,Chur
Illgau,7,Rapperswil-Jona
Illnau-Effretikon,5,Zürich
Inden,6,Sion
Ingenbohl,7,Rapperswil-Jona
Inkwil,13,Solothurn
Innerthal,7,Rapperswil-Jona
Innertkirchen,0,Altdorf (UR)
Ins,16,Bern
