Name,Label,Canton_name
Saint-Saphorin (Lavaux),9,Lausanne
Saint-Sulpice (VD),9,Lausanne
Sainte-Croix,9,Lausanne
Salenstein,23,Frauenfeld
Salgesch,6,Sion
Salmsach,23,Frauenfeld
Salouf,15,Uzwil
Salvan,6,Sion
Salvenach,16,Köniz
Samedan,15,Uzwil
Samnaun,15,Uzwil
San Vittore,12,Lugano
Sant'Antonino,12,Lugano
Sant'Antonio,12,Lugano
Santa Maria in Calanca,15,Uzwil
Sargans,21,St. Gallen
Sarmenstorf,4,Luzern
Sarnen,16,Köniz
Sarzens,9,Lausanne
Satigny,10,Genève
Sattel,21,St. Gallen
Saubraz,9,Lausanne
Sauge,16,Köniz
Saulcy,24,La Chaux-de-Fonds
Saules (BE),24,La Chaux-de-Fonds
Savigny,9,Lausanne
Savièse,6,Sion
Savognin,15,Uzwil
Savosa,12,Lugano
Saxeten,16,Köniz
Saxon,6,Sion
Schaffhausen,5,Winterthur
Schafisheim,20,Zürich
Schangnau,16,Köniz
Scharans,15,Uzwil
Schattdorf,7,Kriens
Schattenhalb,16,Köniz
Schelten,18,Delémont
Schenkon,4,Luzern
Scherz,20,Zürich
Scheuren,19,Bern
Schiers,21,St. Gallen
Schinznach,20,Zürich
Schinznach-Bad,20,Zürich
Schlatt (TG),5,Winterthur
Schlatt (ZH),5,Winterthur
Schlatt-Haslen,21,St. Gallen
Schleinikon,5,Winterthur
Schleitheim,5,Winterthur
Schlierbach,20,Zürich
Schlieren,5,Winterthur
Schlossrued,4,Luzern
Schlosswil,16,Köniz
Schluein,15,Uzwil
Schmerikon,7,Kriens
Schmiedrued,4,Luzern
Schmitten (FR),19,Bern
Schmitten (GR),15,Uzwil
Schneisingen,5,Winterthur
Schnottwil,16,Köniz
Schongau,4,Luzern
Schupfart,3,Basel
Schwaderloch,5,Winterthur
Schwadernau,19,Bern
Schwanden bei Brienz,7,Kriens
Schwarzenberg,16,Köniz
Schwarzenburg,19,Bern
Schwarzhäusern,16,Köniz
Schwellbrunn,15,Uzwil
Schwende,21,St. Gallen
Schwendibach,16,Köniz
Schwerzenbach,5,Winterthur
Schwyz,21,St. Gallen
Schänis,25,Glarus Nord
Schöfflisdorf,20,Zürich
Schöftland,20,Zürich
Schönenberg (ZH),7,Kriens
Schönenbuch,3,Basel
Schönengrund,23,Frauenfeld
Schönenwerd,16,Köniz
Schönholzerswilen,23,Frauenfeld
Schötz,16,Köniz
Schübelbach,7,Kriens
Schüpfen,19,Bern
Schüpfheim,4,Luzern
Scuol,15,Uzwil
Seeberg,16,Köniz
Seedorf (BE),19,Bern
Seedorf (UR),0,Altdorf (UR)
Seegräben,5,Winterthur
Seehof,3,Basel
Seelisberg,7,Kriens
Seengen,20,Zürich
Seewen,13,Zuchwil
Seewis im Prättigau,21,St. Gallen
Seftigen,16,Köniz
Seltisberg,3,Basel
Selzach,16,Köniz
Sembrancher,6,Sion
Sementina,12,Lugano
Sempach,4,Luzern
Semsales,9,Lausanne
Senarclens,24,La Chaux-de-Fonds
Sennwald,21,St. Gallen
Senèdes,19,Bern
Seon,20,Zürich
Sergey,24,La Chaux-de-Fonds
Serravalle,15,Uzwil
Servion,9,Lausanne
Sessa,12,Lugano
Seuzach,5,Winterthur
Sevelen,21,St. Gallen
Siblingen,5,Winterthur
Sierre,6,Sion
Siglistorf,5,Winterthur
Signau,16,Köniz
Signy-Avenex,10,Genève
Sigriswil,16,Köniz
Silenen,7,Kriens
Sils im Domleschg,15,Uzwil
Sils im Engadin/Segl,15,Uzwil
Silvaplana,15,Uzwil
Simplon,6,Sion
Sins,4,Luzern
Sion,6,Sion
Sirnach,5,Winterthur
Siselen,19,Bern
Sisikon,7,Kriens
Sissach,20,Zürich
Sisseln,3,Basel
Siviriez,9,Lausanne
Soazza,15,Uzwil
Sobrio,15,Uzwil
Solothurn,16,Köniz
Sommeri,23,Frauenfeld
Sonceboz-Sombeval,16,Köniz
Sonogno,15,Uzwil
Sonvilier,19,Bern
Soral,10,Genève
Sorengo,12,Lugano
Sorens,19,Bern
Sorvilier,18,Delémont
Soubey,16,Köniz
Soyhières,18,Delémont
Speicher,14,Teufen (AR)
Spiez,16,Köniz
Spiringen,15,Uzwil
Splügen,15,Uzwil
Spreitenbach,5,Winterthur
St. Antoni,16,Köniz
St. Antönien,15,Uzwil
St. Gallen,21,St. Gallen
St. Margrethen,21,St. Gallen
St. Moritz,15,Uzwil
St. Niklaus,6,Sion
St. Silvester,16,Köniz
St. Stephan,16,Köniz
St. Ursen,19,Bern
Stabio,12,Lugano
Stadel,5,Winterthur
Staffelbach,20,Zürich
Stalden (VS),6,Sion
Staldenried,6,Sion
Stallikon,17,Zug
Stans,7,Kriens
Stansstad,4,Luzern
Starrkirch-Wil,20,Zürich
Staufen,20,Zürich
Steckborn,23,Frauenfeld
Steffisburg,16,Köniz
Steg-Hohtenn,19,Bern
Stein (AG),3,Basel
Stein (AR),23,Frauenfeld
Stein am Rhein,23,Frauenfeld
Steinach,23,Frauenfeld
Steinen,7,Kriens
Steinerberg,17,Zug
Steinhausen,21,St. Gallen
Steinmaur,5,Winterthur
Stetten (AG),5,Winterthur
Stetten (SH),5,Winterthur
Stettfurt,5,Winterthur
Stettlen,16,Köniz
Stocken-Höfen,16,Köniz
Strengelbach,16,Köniz
Studen (BE),19,Bern
Stäfa,7,Kriens
Stüsslingen,16,Köniz
Subingen,16,Köniz
Suchy,9,Lausanne
Sufers,15,Uzwil
Suhr,20,Zürich
Sulgen,21,St. Gallen
Sullens,9,Lausanne
Sumiswald,4,Luzern
Sumvitg,15,Uzwil
Sur,15,Uzwil
Surpierre,19,Bern
Sursee,4,Luzern
Suscévaz,24,La Chaux-de-Fonds
Sutz-Lattrigen,16,Köniz
Syens,19,Bern
Sâles,9,Lausanne
Sévaz,9,Lausanne
Sévery,9,Lausanne
Tafers,9,Lausanne
Tamins,15,Uzwil
Tannay,9,Lausanne
Tartegnin,9,Lausanne
Tavannes,24,La Chaux-de-Fonds
Tecknau,3,Basel
Tegerfelden,20,Zürich
Tenero-Contra,12,Lugano
Tenniken,3,Basel
Tentlingen,16,Köniz
Termen,6,Sion
Terre di Pedemonte,16,Köniz
Teufen (AR),14,Teufen (AR)
Teufenthal (AG),20,Zürich
Teuffenthal (BE),16,Köniz
Thal,21,St. Gallen
Thalheim (AG),20,Zürich
Thalheim an der Thur,23,Frauenfeld
Thalwil,5,Winterthur
Thayngen,5,Winterthur
Therwil,3,Basel
Thierachern,16,Köniz
Thun,16,Köniz
Thundorf,21,St. Gallen
Thunstetten,16,Köniz
Thusis,15,Uzwil
Thônex,10,Genève
Thörigen,16,Köniz
Thürnen,3,Basel
Tinizong-Rona,15,Uzwil
Titterten,16,Köniz
Tobel-Tägerschen,21,St. Gallen
Toffen,16,Köniz
Tolochenaz,24,La Chaux-de-Fonds
Torny,9,Lausanne
Torricella-Taverne,12,Lugano
Trachselwald,16,Köniz
Tramelan,24,La Chaux-de-Fonds
Trasadingen,5,Winterthur
Treiten,16,Köniz
Trey,9,Lausanne
Treycovagnes,9,Lausanne
Treytorrens (Payerne),9,Lausanne
Treyvaux,19,Bern
Triengen,4,Luzern
Trient,6,Sion
Trimbach,20,Zürich
Trimmis,21,St. Gallen
Trin,21,St. Gallen
Trogen,21,St. Gallen
Troinex,10,Genève
Troistorrents,6,Sion
Trub,16,Köniz
Trubschachen,16,Köniz
Trun,15,Uzwil
Truttikon,5,Winterthur
Trélex,9,Lausanne
Trüllikon,23,Frauenfeld
Tschappina,21,St. Gallen
Tschiertschen-Praden,15,Uzwil
Tschugg,16,Köniz
Tuggen,7,Kriens
Tujetsch,15,Uzwil
Turbenthal,5,Winterthur
Turgi,20,Zürich
Turtmann-Unterems,19,Bern
